page_num,entry_id,registration_date_and_plan_ref,property_description,date_of_lease_and_term,lessees_title,notes
13,106,09.08.2007,45 Walsingham (Third Floor Flat),27.07.2007 From 27.7.2007 to 21.11.2174,NGL885364,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,107,08.08.2007,10 Walsingham (Second Floor Flat),12.06.2007 From 12.6.2007 to 21.11.2174,NGL885333,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,108,22.08.2007,8 Sheringham (First Floor Flat) and Garage 13,14.08.2007 from 14.8.2007 to 21.11.2174,NGL885973,"['NOTE: This lease was made under the provisions of section 56 or 93(4) of theLea sehold Reform, Housing and Urban Development Act 1993']"
13,109,30.10.2007,76 Walsingham (Ninth Floor Flat) and Garage 84,10.10.2007 From 10.10.2007 to 21.11.2174,NGL889051,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,110,19.11.2007,66 Sheringham (Seventh Floor Flat) and Garage 30,10.04.2007 From 10.4.2007 to 21.11.2174,NGL889962,"['NOTE: The lease was under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,111,11.01.2008,20 Walsingham (Fourth Floor Flat) and Garage 101,21.12.2007 From 21 December 2007 to 21 November 2174,NGL891998,"['NOTE: This lease was granted under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,112,18.02.2008,22 Walsingham (Fifth Floor Flat) and Garage 50,08.02.2008 From 8.2.2008 to 21.11.2174,NGL893796,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,113,10.04.2008,1 Walsingham (Ground Floor Flat),18.12.2007 From 18.12.2007 to 21.11.2174,NGL895869,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,114,23.06.2008,10 Sheringham (Second Floor Flat),20.03.2008 From 20.3.2008 to 21.11.2174,NGL897572,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,115,21.11.2008,61 Sheringham (Sixth Floor Flat) and Garage 12,21.10.2008 From 21.10.2008 to 21.11.2174,NGL901142,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,116,18.02.2009,67 Walsingham (Seventh Floor Flat),11.02.2009 From 11.2.2009 to 21.11.2174,NGL902716,"['NOTE: This lease was made under the provision of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,117,07.04.2009,2 Sheringham (ground floor),01.04.2009 from 1/4/2009 to and including 21/11/2174,NGL903580,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,118,08.01.2010,Flat 26 Sheringham (sixth floor flat) and Garage 31,14.12.2009 From 14/12/2009 to 21/11/2174,NGL908174,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,119,28.04.2010,58 Walsingham (Fifth Floor Flat) and Garage 60,21.04.2010 From 21.4.2010 to and including 21.11.2174,NGL910354,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,120,14.07.2011,Flat 1 Wymondham Court (Ground Floor Flat),13.05.2011 From and including 13.5.2011 to and including 21.11.2174,NGL919604,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,121,27.02.2012,16 Walsingham (Third Floor Flat),21.02.2012 From and including 21.2.2012 to and including 21.11.2174,NGL924359,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,122,17.05.2012,"Flat 52, Walsingham (Fourth Floor Flat) and Garages 73 and 80",08.02.2012 From and including 8.2.2012 to and including 21.11.2174,NGL926127,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,123,26.06.2012,Flat 55 Sheringham (Fifth floor) and Garage 36,18.06.2012 From 18.6.2012 to 21.11.2174,NGL927156,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,124,08.08.2012,8 Mancroft Court (Third Floor Flat),04.07.2011 From and including 4.7.20121 to and including 21.11.2174,NGL928048,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,125,09.10.2012,24 Walsingham (Fifth Floor Flat),21.02.2011 From and including 21/02/2011 to and including 21/11/2174,NGL929514,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,126,07.02.2013,59 Walsingham (Sixth floor flat) and Garage 49,07.02.2013 from and including 07/02/2013 to and including 21/11/2174,NGL932692,"['NOTE 1: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993', ""NOTE 2: See entry in the Charges Register relating to landlord's restrictive covenants""]"
13,127,08.05.2013,Flat 51 Walsingham (fourth floor flat) and garage,26.04.2013 from 26.4.2013 to 21.11.2174,NGL852928,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,128,01.08.2013,33 Sheringham (Ground Floor Flat),09.07.2013 From and including 09.07.2013 to and including 21.11.2174,NGL935979,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,129,06.02.2014,1 Sheringham (Ground Floor Flat),24.01.2014 From and including 24.1.2014 to and including 21.11.2174,NGL940369,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,130,28.05.2014,78 Sheringham (Ninth Floor Flat),15.05.2014 From 15.5.2014 to 22.11.2174,NGL942799,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,131,05.06.2014,Flat 12 Sheringham (Second Floor Flat),03.06.2014 From 03/06/14 to 21/11/2174,NGL942960,"['NOTE: The Lease was made under the provisions of section 56 or 93 (4) of the Leasehold Reform, Housing and Urban Development Act 1993']"
13,132,02.12.2014,Flat 2 Walsingham (Ground Floor Flat) and Garage 85,10.11.2014 From 10.11.2014 to 21.11.2174,NGL947517,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,133,29.09.2015,57 Walsingham (Fifth Floor Flat),24.08.2015 From 24/08/2015 to and including 22/11/2174,NGL954386,"['NOTE: The lease was made under the provisions of section 56 or 93(4) of the Leasehold Reform, Housing and Urban Development Act 1993.']"
13,134,07.12.2015,26 Walsingham (Sixth Floor),30.11.2015 From 30/11/2015 to and including 21/11/2174,NGL955997,['NOTE: The lease was made under the provisions of Section 56 or 93(4) of the Leasehold Reform Housing and Urban Development Act 1993.']
